lumutas (solve/settle)                lumutas             lumulutas           lulutas             lulutas
lutasin (solve/settle)                nilutas             nilulutas           lulutasin           lutasin
luto (cook)                           nagluto             nagluluto           magluluto           magluto
lutuin (cook)                         niluto/             niluluto            lulutuin            lutuin
maneho (drive)                        nagmaneho           nagmamaneho         magmamaneho         magmaneho
masdan (view/look)                    minasdan            minamasdan          mamasdan            masdan
nakaw (steal )                        nagnakaw            nagnanakaw          magnanakaw          magnakaw
nakawin (steal)                       ninakaw             ninanakaw           nanakawin           nakawin
nood (watch a show/ look at)          nanood              nanonood            manonood            manood
panoorin (watch)                      pinanood            pinanonood          panonoorin          panoorin
ngiti (smile)                         ngumiti             ngumigniti          ngingiti            ngumiti
nguyain (chew)                        nginuya             nginunguya          ngunguyain          nguyain
paalam (ask permission/say goodbye)   nagpaalam           nagpapaalam         magpapaalam         magpaalam
pahinga (rest)                        nagpahinga          nagpapahinga        magpapahinga        magpahinga
pakilala (introduce oneself)          nagpakilala         nagpapakilala       magpapakilala       magpakilala
paliwanag (explain)                   nagpaliwanag        nagpapaliwanag      magpapaliwanag      magpaliwanag
liwanagin (clarify)                   niliwanag           nililiwanag         liliwanagin         liwanagin
panalo (win)                          nanalo              nananalo            mananalo            manalo
paniwala (believe)                    naniwala            naniniwala          maniniwala          maniwala
pansin (pay attention to)             pumansin            pumapansin          papansin            pumansin
pansinin (pay attention to)           pinansin            pinapansin          papansinin          pansinin
parusa (punish)                       nagparusa           nagpaparusa         magpaparusa         magparusa
parusahan (punish)                    pinarusahan         pinaparusahan       paparusahan         parusahan
pasok (enter/go to work or school)    pumasok             pumapasok           papasok             pumasok
patay (die)                           namatay             namamatay           mamamatay           mamatay
patayin (kill/turn off)               pinatay             pinapatay           papatayin           patayin
payag (consent)                       pumayag             pumapayaga          papayag             pumayag
payagan (consent)                     pinayagan           pinapayagan         papayagan           payagan
payuhan (advise/counsel)              pinayuhan           pinapayuhan         papayuhan           payuhan
pili (choose)                         pumili              pumipili            pipili              pumili
piliin (choose)                       pinili              pinipili            pipiliin            piliin
pinturahan (paint)                    pininturahan        pinipinturahan      pipinturahan        pinturahan
pirma (sign)                          pumirma             pumipirma           pipirma             pumirma
pirmahan (affix your signature)       pinirmahan          pinipirmahan        pipirmahan          pirmahan
pitas (pick flowers or fruits)        pumitas             pumipitas           pipitas             pumitas
pitasin (pick flowers or fruits)      pinitas             pinipitas           pipitasin           pitasin
plano (plan)                          nagplano            nagpaplano          magpaplano          magplano
iplano (plan)                         iplinano            ipinaplano          ipaplano            iplano
plantsa (iron clothes)                nagplantsa          nagpaplantsa        magpaplantsa        magplantsa
plantsahin (iron clothes)             plinantsa           pinaplantsa         paplantsahin        plantsahin
pulot (pick up from the ground/floor) pumulot             pumupulot           pupulot             pumulot
pulutin (pick up from the ground/floor) pinulot           pinupulot           pupulutin           pulutin
punas (wipe)                          nagpunas            nagpupunas          magpupunas          magpunas
punasan (wipe off)                    pinunasan           pinupunasan         pupunasan           punasan
punta (go to a place or person)       pumunta             pumupunta           pupunta             pumunta
puntahan (go to a place or person)    pinuntahan          pinupuntahan        pupuntahan          puntahan
putol (cut/chop)                      nagputol            nagpuputol          magpuputol          magputol
putulin (cut/cut down)                pinutol             pinuputol           puputulin           putulin
sabi (say/tell)                       nagsabi             nagsasabi           magsasabi           magsabi
sabihin (say/tell)                    sinabi              sinasabi            sasabihin           sabihin
sagot (reply/answer)                  sumagot             sumasagot           sasagot             sumagot
sagutin (reply/answer)                sinagot             sinasagot           sasagutin           sagutin
saing (cook rice)                     nagsaing            nagsasaing          magsasaing          magsaing
sakay (go aboard/ride)                sumakay             sumasakay           sasakay             sumakay
sakyan (go aboard/ ride)              sinakyan            sinasakyan          sasakyan            sakyan
salamat (thank)                       nagpasalamat        nagpapasalamat      magpapasalamat      magpasalamat
pasalamatan (thank)                   pinasalamatan       pinapasalamatan     papasalamatan       pasalamatan
sali (join an activity or group)      sumali              sumasali            sasali              sumali
salita (speak)                        nagsalita           nagsasalita         magsasalita         magsalita
sampay (hang clothes)                 nagsampay           nagsasampay         magsasampay         magsampay
sama (come along)                     sumama              sumasama            sasama              sumama
samahan (accompany)                   sinamahan           sinasamahan         sasamahan           samahan
sara (close/shut off)                 nagsara             nagsasara           magsasara           magsara
isara (close/shut off)                isinara             isinasara           isasara             isara
sayaw (dance)                         sumayaw             sumasayaw           sasayaw             sumayaw
sigaw (shout)                         sumigaw             sumisigaw           sisigaw             sumigaw
sigawan (shout at)                    sinigawan           sinisigawan         sisigawan           sigawan
silip (take a peek)                   sumilip             sumisilip           sisilip             sumilip
silipin (take a peek at)              sinilip             sinisilip           sisilipin           silipin
simula (commence/begin)               nagsimula           nagsisimula         magsisimula         magsimula
simulan (commence/begin)              sinimulan           sinisimulan         sisimulan           simulan
sindi (set fire to)                   nagsindi            nagsisindi          magsisindi          magsindi
sindihan (set fire to)                sinindihan          sinisindihan        sisindihan          sindihan
sipilyo (brush teeth)                 nagsipilyo          nagsisipilyo        magsisipilyo        magsipilyo
sira (break down)                     nasira              nasisira            masisira            masira
sirain (break/damage)                 sinira              sinisira            sisirain            sirain
subok (test/try out)                  sumubok             sumusubok           susubok             sumubok
subukan (test/try out)                sinubukan           sinusubukan         susubukan
suklay (comb one's hair)              nagsuklay           nagsusuklay         magsusuklay         magsuklay
suklayin (comb the hair)              sinuklay            sinusuklay          susuklayin          suklayin
suko (surrender)                      sumuko              sumusuko            susuko              sumuko
sulat (write)                         nagsulat            nagsusulat          magsusulat          magsulat
sulat (write down)                    isinulat            isinusulat          isusulat            isulat
sulatan (write to/write on)           sinulatan           sinusulatan         susulatan           sulatan
sundo (fetch someone)                 sumundo             sumusundo           susundo             sumundo
sunduin (fetch someone)               sinundo             sinusundo           susunduin           sunduin
sunod (obey)                          sumunod             sumusunod           susunod             sumunod
sundin (obey)                         sinunod             sinusunod           susundin            sundin
sundan (follow someone)               sinundan            sinusundan          susundan            sundan
suot (wear)                           nagsuot             nagsusuot           magsusuot           magsuot
isuot (wear)                          isinuot             isinusuot           isusuot             isuot
suway (disobey/violate)               sumuway             sumusuway           susuway             sumuway
tago (hide)                           nagtago             nagtatago           magtatago           magtago
itago (hide)                          itinago             itinatago           itatago             itago
tahi (sew)                            tumahi              tumatahi            tatahi              tumahi
tahimik (keep quiet)                  tumahimik           tumatahimik         tatahimik           tumahimik
takbo (run)                           tumakbo             tumatakbo           tatakbo             tumakbo
talon (jump)                          tumalon             tumatalon           tatalon             tumalon
taluhin (defeat/beat)                 tinalo              tinatalo            tataluhin           taluhin
tanggal (detach/disconnect)           tumanggal           tumatanggal         tatanggal           tumanggal
tanggalin (detach/disconnect)         tinanggal           tinatanggal         tatanggalin         tanggalin
tanggap (receive)                     tumanggap           tumatanggap         tatanggap           tumanggap
tanggapin (accept)                    tinanggap           tinatanggap         tatanggapin         tanggapin
tanim (plant)                         nagtanim            nagtatanim          magtatanim          magtanim
tamnan (plant in)                     tinamnan            tinatamnan          tatamnan            tamnan
tanong (ask/inquire)                  nagtanong           nagtatanong         magtatanong         magtanong
tanungin (ask/inquire)                tinanong            tinatanong          tatanungin          tanungin
tapon (throw)                         nagtapon            nagtatapon          magtatapon          magtapon
itapon (throw)                        itinapon            itinatapon          itatapon            itapon
tapos (finish/accomplish)             nagtapos            nagtatapos          magtatapos          magtapos
tapusin (finish/accomplish)           tinapos             tinatapos           tatapusin           tapusin
tawa (laugh)                          tumawa              tumatawa            tatawa              tumawa
tawag (call)                          tumawag             tumatawag           tatawag             tumawag
tawagin (call on/summon)              tinawag             tinatawag           tatawagin           tawagin
tawagan (call on the phone)           tinawagan           tinatawagan         tatawagan           tawagan
tawid (go across)                     tumawid             tumatawid           tatawid             tumawid
tibok (throb/pulsate)                 tumibok             tumitibok           titibok             tumibok
tiis (endure hardship)                nagtiis             nagtitiis           magtitiis           magtiis
tiisin (endure/bear with)             tiniis              tinitiis            titiisin            tiisin
timpla (blend/mix)                    nagtimpla           nagtitimpla         magtitimpla         magtimpla
timplahin (blend/mix)                 tinimpla            tinitimpla          titimplahin         timplahin
tindig (stand up)                     tumindig            tumitindig          titindig            tumindig
tingin (look at)                      tumingin            tumitingin          titingin            tumingin
tingnan (look at)                     tiningnan           tinitingnan         titingnan           tingnan
tipid (economize/save)                nagtipid            nagtitipid          magtitipid          magtipid
tipirin (economize/save)              tinipid             tinitipid           titipirin           tipirin
trabaho (work)                        nagtrabaho          nagtatrabaho        magtatrabaho        magtrabaho
tubo (sprout/grow)                    tumubo              tumutubo            tutubo              tumubo
tulak (push/shove)                    nagtulak            nagtutulak          magtutulak          magtulak
itulak (push/shove)                   itinulak            itinutulak          itutulak            itulak
tuklas (discover)                     tumuklas            tumutuklas          tutuklas            tumuklas
tuklasin (discover)                   tinuklas            tinutuklas          tutuklasin          tuklasin
tulog (sleep)                         natulog             natutulog           matutulog           matulog
